VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB3N,Clark,Vancouver,WA,98686.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,49.0,199197358,POINT (-122.626623 45.711724),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040803.0
5YJSA1E59N,King,Bellevue,WA,98006.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,41.0,216730503,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025008.0
7SAXCDE50N,Snohomish,Mountlake Terrace,WA,98043.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,1.0,220482272,POINT (-122.306706 47.792043),PUGET SOUND ENERGY INC,53061051929.0
WVGUNPE21N,Whatcom,Bellingham,WA,98229.0,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,40.0,227530390,POINT (-122.442974 48.729016),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000902.0
KNDC3DLCXN,Pierce,Tacoma,WA,98422.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,27.0,208373651,POINT (-122.389973 47.291035),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940011.0
7SAYGAEE2N,King,Lake Forest Park,WA,98155.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,46.0,213346374,POINT (-122.301507 47.761784),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021300.0
3FMTK3SUXN,Kitsap,Port Orchard,WA,98366.0,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,26.0,208906197,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092600.0
5YJSA1E54N,King,Seattle,WA,98146.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,34.0,218155311,POINT (-122.3551826 47.5000521),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700.0
KNDRJDLH3N,Cowlitz,Silverlake,WA,98645.0,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,0.0,20.0,183387753,POINT (-122.7673132 46.3239775),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015002004.0
7FCEHDB79N,Kitsap,Bremerton,WA,98312.0,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,35.0,216963113,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092101.0
7FCEHDB76N,King,Kent,WA,98032.0,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,33.0,216913217,POINT (-122.2612577 47.3821912),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029206.0
KNDC3DLC6N,King,Seattle,WA,98136.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,34.0,207087751,POINT (-122.3894209 47.5407358),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010502.0
7SAYGDEE3N,Skagit,Anacortes,WA,98221.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,40.0,208022636,POINT (-122.6330168 48.4948674),PUGET SOUND ENERGY INC,53057940500.0
JTMEB3FV7N,Snohomish,Lynnwood,WA,98036.0,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,32.0,192604814,POINT (-122.287143 47.812199),PUGET SOUND ENERGY INC,53061051930.0
7SAYGDEE1N,Thurston,Olympia,WA,98516.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,22.0,261654683,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012221.0
1N4AZ1CV1N,King,Sammamish,WA,98074.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,45.0,181339896,POINT (-122.0430602 47.6259676),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317.0
7SAYGDEF5N,King,Seattle,WA,98112.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,43.0,185624946,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0
7SAYGDEE9N,King,Black Diamond,WA,98010.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,5.0,220656782,POINT (-122.014858 47.312069),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603.0
7SAYGDEE7N,King,Sammamish,WA,98074.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,45.0,196011756,POINT (-122.0430602 47.6259676),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318.0
3FMTK3SU3N,Clark,Vancouver,WA,98684.0,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,17.0,224051250,POINT (-122.5241377 45.6278995),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041319.0
1C4JJXR63N,Snohomish,Everett,WA,98208.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.0,0.0,44.0,252744369,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041701.0
